Category,Component,SOC,Title,Occupation
Submarine Cables,General,537021,Crane and Tower Operators,Crane Operator and Crane Engineer / Heavy Lift Specialist / Senior Lifting Engineer
Submarine Cables,Conductor,172071,Electrical Engineer,Cable Engineer / Electrical Engineer / Project Engineer: Array/Export Cable
Submarine Cables,Conductor,173023,Electrical and Electronic Engineering Technologists and Technicians,Electrical Technician / Cable Technician
Submarine Cables,Conductor,512021,"Coil Winders, Tapers, and Finishers",Coil Worker / Coil Design Engineer
Submarine Cables,Insulation Layer,172131,Materials Engineer,Composite Materials Engineer
Submarine Cables,Insulation Layer,514072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",Insulating Machine Operator
Submarine Cables,"
Armor Layer",472221,Structural Iron and Steel Workers,Steel Worker / Cable Engineer
Submarine Cables,"
Armor Layer",514031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Metal Cutters
Submarine Cables,"
Armor Layer",514035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",Milling Machinist / Cable Engineer
Submarine Cables,"
Armor Layer",514023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Rolling Machine Setters / Cable Roller
Submarine Cables,"
Armor Layer",514121,"Welders, Cutters, Solderers, and Brazers",Welder
Submarine Cables,Outer Layer,514021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Cable Machine Operator
Submarine Cables,Outer Layer,172131,Materials Engineer,Composite Materials Engineer
Submarine Cables,Outer Layer,172041,Chemical Engineers,Cable Cover Engineer
